drivers/crypto/marvell/octeontx/otx_cptvf_main.o, 1
drivers/crypto/marvell/octeontx/otx_cptvf_reqmgr.o, 1
drivers/crypto/qce/aead.o, 1
drivers/crypto/qce/sha.o, 1
drivers/crypto/qce/skcipher.o, 1
drivers/crypto/s5p-sss.o, 1
drivers/crypto/sa2ul.o, 2
drivers/crypto/starfive/jh7110-hash.o, 1
drivers/crypto/xilinx/zynqmp-aes-gcm.o, 1
drivers/dma/bcm-sba-raid.o, 1
drivers/dma-buf/heaps/cma_heap.o, 1
drivers/dma-buf/heaps/system_heap.o, 1
drivers/dma-buf/udmabuf.o, 1
drivers/dma/dma-jz4780.o, 1
drivers/dma/dmatest.o, 1
drivers/dma/dw-axi-dmac/dw-axi-dmac-platform.o, 1
drivers/dma/dw/core.o, 1
drivers/dma/fsl-edma-common.o, 2
drivers/dma/hisi_dma.o, 1
drivers/dma/idma64.o, 1
drivers/dma/idxd/device.o, 1
drivers/dma/img-mdc-dma.o, 1
drivers/dma/ioat/dma.o, 1
drivers/dma/ioat/init.o, 2
drivers/dma/ioat/prep.o, 1
drivers/dma/k3dma.o, 1
drivers/dma/lgm/lgm-dma.o, 1
drivers/dma/mediatek/mtk-hsdma.o, 1
drivers/dma/mmp_pdma.o, 1
drivers/dma/mv_xor.o, 2
drivers/dma/mxs-dma.o, 1
drivers/dma/nbpfaxi.o, 1
drivers/dma/pch_dma.o, 1
drivers/dma/plx_dma.o, 1
drivers/dma/ptdma/ptdma-dev.o, 1
drivers/dma/qcom/hidma_ll.o, 1
drivers/dma/sh/rcar-dmac.o, 2
drivers/dma/sh/rz-dmac.o, 1
drivers/dma/stm32-mdma.o, 1
drivers/dma/sun6i-dma.o, 1
drivers/dma/timb_dma.o, 1
drivers/dma/ti/omap-dma.o, 1
drivers/dma/xgene-dma.o, 2
drivers/dma/xilinx/xdma.o, 1
drivers/dma/xilinx/xilinx_dpdma.o, 1
drivers/dma/xilinx/zynqmp_dma.o, 1
drivers/firewire/core-iso.o, 1
drivers/firewire/nosy.o, 1
drivers/firewire/ohci.o, 3
drivers/firewire/sbp2.o, 1
drivers/firmware/qcom_scm-legacy.o, 1
drivers/firmware/qcom_scm.o, 1
drivers/firmware/qcom_scm-smc.o, 1
drivers/firmware/turris-mox-rwtm.o, 1
drivers/fpga/dfl-afu-dma-region.o, 1
drivers/fpga/versal-fpga.o, 1
drivers/fpga/zynq-fpga.o, 1
drivers/fpga/zynqmp-fpga.o, 1
drivers/gpu/drm/amd/amdgpu/amdgpu_amdkfd_gpuvm.o, 2
drivers/gpu/drm/amd/amdgpu/amdgpu_dma_buf.o, 1
drivers/gpu/drm/amd/amdgpu/amdgpu_gart.o, 1
drivers/gpu/drm/amd/amdgpu/amdgpu_ih.o, 1
drivers/gpu/drm/amd/amdgpu/amdgpu_ttm.o, 1
drivers/gpu/drm/amd/amdgpu/amdgpu_vram_mgr.o, 1
drivers/gpu/drm/amd/amdkfd/kfd_migrate.o, 1
drivers/gpu/drm/amd/amdkfd/kfd_svm.o, 1
drivers/gpu/drm/drm_bufs.o, 1
drivers/gpu/drm/drm_gem_dma_helper.o, 2
drivers/gpu/drm/drm_gem_shmem_helper.o, 1
drivers/gpu/drm/drm_prime.o, 1
drivers/gpu/drm/etnaviv/etnaviv_cmdbuf.o, 1
drivers/gpu/drm/etnaviv/etnaviv_gem.o, 1
drivers/gpu/drm/etnaviv/etnaviv_iommu.o, 1
drivers/gpu/drm/etnaviv/etnaviv_iommu_v2.o, 1
drivers/gpu/drm/etnaviv/etnaviv_mmu.o, 1
drivers/gpu/drm/exynos/exynos_drm_g2d.o, 2
drivers/gpu/drm/exynos/exynos_drm_gem.o, 1
drivers/gpu/drm/i915/gem/i915_gem_dmabuf.o, 1
drivers/gpu/drm/i915/gem/i915_gem_phys.o, 1
drivers/gpu/drm/i915/gem/i915_gem_ttm.o, 1
drivers/gpu/drm/i915/i915_gem_gtt.o, 1
drivers/gpu/drm/ingenic/ingenic-drm-drv.o, 1
drivers/gpu/drm/lima/lima_device.o, 1
drivers/gpu/drm/lima/lima_gem.o, 1
drivers/gpu/drm/lima/lima_vm.o, 1
drivers/gpu/drm/msm/dsi/dsi_host.o, 1
drivers/gpu/drm/msm/msm_drv.o, 1
drivers/gpu/drm/msm/msm_gem.o, 1
drivers/gpu/drm/msm/msm_gpummu.o, 1
drivers/gpu/drm/nouveau/nouveau_dmem.o, 1
drivers/gpu/drm/nouveau/nvkm/core/firmware.o, 1
drivers/gpu/drm/nouveau/nvkm/subdev/fb/base.o, 1
drivers/gpu/drm/nouveau/nvkm/subdev/instmem/gk20a.o, 2
drivers/gpu/drm/nouveau/nvkm/subdev/mmu/mem.o, 1
drivers/gpu/drm/nouveau/nvkm/subdev/mmu/vmmgp100.o, 1
drivers/gpu/drm/nouveau/nvkm/subdev/mmu/vmmnv44.o, 1
drivers/gpu/drm/panfrost/panfrost_mmu.o, 1
drivers/gpu/drm/radeon/radeon_device.o, 1
drivers/gpu/drm/radeon/radeon_gart.o, 1
drivers/gpu/drm/radeon/radeon_ttm.o, 1
drivers/gpu/drm/rockchip/rockchip_drm_gem.o, 2
drivers/gpu/drm/tegra/gem.o, 2
drivers/gpu/drm/tegra/nvdec.o, 2
drivers/gpu/drm/tegra/submit.o, 2
drivers/gpu/drm/tegra/vic.o, 2
drivers/gpu/drm/ttm/ttm_pool.o, 2
drivers/gpu/drm/v3d/v3d_drv.o, 1
drivers/gpu/drm/v3d/v3d_gem.o, 1
drivers/gpu/drm/vc4/vc4_dsi.o, 1
drivers/gpu/drm/virtio/virtgpu_vram.o, 1
drivers/gpu/drm/vmwgfx/vmwgfx_cmdbuf.o, 2
drivers/gpu/drm/vmwgfx/vmwgfx_ttm_buffer.o, 1
drivers/gpu/host1x/cdma.o, 1
drivers/gpu/host1x/job.o, 1
drivers/gpu/ipu-v3/ipu-image-convert.o, 1
drivers/hid/amd-sfh-hid/amd_sfh_client.o, 1
drivers/hid/intel-ish-hid/ishtp/dma-if.o, 1
drivers/hid/intel-ish-hid/ishtp-fw-loader.o, 1
drivers/hwtracing/intel_th/msu.o, 2
drivers/hwtracing/intel_th/msu-sink.o, 1
drivers/hwtracing/ptt/hisi_ptt.o, 1
drivers/i2c/busses/i2c-amd-mp2-plat.o, 1
drivers/i2c/busses/i2c-at91-master.o, 1
drivers/i2c/busses/i2c-imx.o, 1
drivers/i2c/busses/i2c-ismt.o, 2
drivers/i2c/busses/i2c-mt65xx.o, 1
drivers/i2c/busses/i2c-mxs.o, 1
drivers/i2c/busses/i2c-qcom-geni.o, 1
drivers/i2c/busses/i2c-qup.o, 1
drivers/i2c/busses/i2c-rcar.o, 1
drivers/i2c/busses/i2c-sh_mobile.o, 1
drivers/i2c/busses/i2c-stm32.o, 1
drivers/i3c/master/mipi-i3c-hci/dma.o, 2
drivers/iio/adc/at91-sama5d2_adc.o, 1
drivers/iio/adc/stm32-adc.o, 1
drivers/iio/adc/stm32-dfsdm-adc.o, 1
drivers/iio/adc/ti_am335x_adc.o, 1
drivers/iio/buffer/industrialio-buffer-dma.o, 1
drivers/infiniband/core/mad.o, 1
drivers/infiniband/core/rw.o, 1
drivers/infiniband/core/umem.o, 1
drivers/infiniband/core/umem_odp.o, 1
drivers/infiniband/hw/bnxt_re/ib_verbs.o, 1
drivers/infiniband/hw/bnxt_re/qplib_fp.o, 1
drivers/infiniband/hw/bnxt_re/qplib_rcfw.o, 1
drivers/infiniband/hw/bnxt_re/qplib_res.o, 1
drivers/infiniband/hw/cxgb4/cq.o, 1
drivers/infiniband/hw/cxgb4/mem.o, 2
drivers/infiniband/hw/cxgb4/qp.o, 1
drivers/infiniband/hw/efa/efa_com.o, 1
drivers/infiniband/hw/efa/efa_main.o, 1
drivers/infiniband/hw/efa/efa_verbs.o, 2
drivers/infiniband/hw/erdma/erdma_cmdq.o, 1
drivers/infiniband/hw/erdma/erdma_eq.o, 1
drivers/infiniband/hw/erdma/erdma_verbs.o, 2
drivers/infiniband/hw/hfi1/init.o, 1
drivers/infiniband/hw/hfi1/ipoib_tx.o, 1
drivers/infiniband/hw/hfi1/pio.o, 1
drivers/infiniband/hw/hfi1/sdma.o, 2
drivers/infiniband/hw/hfi1/tid_rdma.o, 1
drivers/infiniband/hw/hfi1/user_exp_rcv.o, 1
drivers/infiniband/hw/hfi1/user_sdma.o, 1
drivers/infiniband/hw/hfi1/verbs.o, 1
drivers/infiniband/hw/hfi1/vnic_sdma.o, 1
drivers/infiniband/hw/hns/hns_roce_alloc.o, 1
drivers/infiniband/hw/hns/hns_roce_cmd.o, 1
drivers/infiniband/hw/hns/hns_roce_db.o, 1
drivers/infiniband/hw/hns/hns_roce_hem.o, 1
drivers/infiniband/hw/hns/hns_roce_hw_v2.o, 1
drivers/infiniband/hw/irdma/cm.o, 1
drivers/infiniband/hw/irdma/ctrl.o, 1
drivers/infiniband/hw/irdma/hmc.o, 1
drivers/infiniband/hw/irdma/hw.o, 1
drivers/infiniband/hw/irdma/puda.o, 2
drivers/infiniband/hw/irdma/utils.o, 1
drivers/infiniband/hw/irdma/verbs.o, 1
drivers/infiniband/hw/mlx4/mad.o, 1
drivers/infiniband/hw/mlx4/mr.o, 1
drivers/infiniband/hw/mlx4/qp.o, 1
drivers/infiniband/hw/mlx5/mr.o, 1
drivers/infiniband/hw/mlx5/umr.o, 1
drivers/infiniband/hw/mthca/mthca_allocator.o, 1
drivers/infiniband/hw/mthca/mthca_av.o, 1
drivers/infiniband/hw/mthca/mthca_cmd.o, 1
drivers/infiniband/hw/mthca/mthca_eq.o, 2
drivers/infiniband/hw/mthca/mthca_memfree.o, 2
drivers/infiniband/hw/mthca/mthca_qp.o, 1
drivers/infiniband/hw/ocrdma/ocrdma_hw.o, 1
drivers/infiniband/hw/ocrdma/ocrdma_stats.o, 1
drivers/infiniband/hw/ocrdma/ocrdma_verbs.o, 1
drivers/infiniband/hw/qedr/main.o, 1
drivers/infiniband/hw/qedr/qedr_roce_cm.o, 1
drivers/infiniband/hw/qedr/verbs.o, 1
drivers/infiniband/hw/qib/qib_iba6120.o, 1
drivers/infiniband/hw/qib/qib_init.o, 1
drivers/infiniband/hw/qib/qib_sdma.o, 2
drivers/infiniband/hw/qib/qib_user_pages.o, 1
drivers/infiniband/hw/qib/qib_user_sdma.o, 2
drivers/infiniband/hw/qib/qib_verbs.o, 2
drivers/infiniband/hw/usnic/usnic_fwd.o, 1
drivers/infiniband/hw/vmw_pvrdma/pvrdma_main.o, 1
drivers/infiniband/hw/vmw_pvrdma/pvrdma_misc.o, 1
drivers/infiniband/ulp/ipoib/ipoib_cm.o, 1
drivers/infiniband/ulp/ipoib/ipoib_ib.o, 1
drivers/infiniband/ulp/iser/iscsi_iser.o, 1
drivers/infiniband/ulp/iser/iser_initiator.o, 1
drivers/infiniband/ulp/iser/iser_memory.o, 1
drivers/infiniband/ulp/isert/ib_isert.o, 1
drivers/infiniband/ulp/rtrs/rtrs-clt.o, 1
drivers/infiniband/ulp/rtrs/rtrs.o, 1
drivers/infiniband/ulp/rtrs/rtrs-srv.o, 1
drivers/infiniband/ulp/srp/ib_srp.o, 2
drivers/infiniband/ulp/srpt/ib_srpt.o, 1
drivers/iommu/arm/arm-smmu/qcom_iommu.o, 1
drivers/iommu/dma-iommu.o, 1
drivers/iommu/exynos-iommu.o, 1
drivers/iommu/io-pgtable-arm.o, 1
drivers/iommu/io-pgtable-arm-v7s.o, 1
drivers/iommu/omap-iommu.o, 1
drivers/iommu/rockchip-iommu.o, 1
drivers/iommu/sprd-iommu.o, 1
drivers/iommu/sun50i-iommu.o, 1
drivers/isdn/hardware/mISDN/hfcpci.o, 1
drivers/isdn/hardware/mISDN/netjet.o, 1
drivers/mailbox/bcm-pdc-mailbox.o, 2
drivers/media/common/saa7146/saa7146_core.o, 2
drivers/media/common/saa7146/saa7146_vbi.o, 1
drivers/media/common/siano/smscoreapi.o, 1
drivers/media/common/videobuf2/videobuf2-dma-contig.o, 4
drivers/media/common/videobuf2/videobuf2-dma-sg.o, 1
drivers/media/common/videobuf2/videobuf2-vmalloc.o, 1
drivers/media/pci/b2c2/flexcop-dma.o, 1
drivers/media/pci/bt8xx/bt878.o, 1
drivers/media/pci/bt8xx/btcx-risc.o, 1
drivers/media/pci/cobalt/cobalt-omnitek.o, 1
drivers/media/pci/cx18/cx18-queue.o, 1
drivers/media/pci/cx23885/cx23885-alsa.o, 1
drivers/media/pci/cx23885/cx23885-core.o, 1
drivers/media/pci/cx25821/cx25821-alsa.o, 1
drivers/media/pci/cx25821/cx25821-core.o, 1
drivers/media/pci/cx88/cx88-alsa.o, 1
drivers/media/pci/cx88/cx88-core.o, 1
drivers/media/pci/ddbridge/ddbridge-core.o, 2
drivers/media/pci/dm1105/dm1105.o, 1
drivers/media/pci/intel/ipu3/ipu3-cio2-main.o, 1
drivers/media/pci/ivtv/ivtv-queue.o, 1
drivers/media/pci/ivtv/ivtv-udma.o, 2
drivers/media/pci/ivtv/ivtv-yuv.o, 2
drivers/media/pci/mantis/mantis_dma.o, 1
drivers/media/pci/netup_unidvb/netup_unidvb_core.o, 1
drivers/media/pci/ngene/ngene-core.o, 1
drivers/media/pci/pluto2/pluto2.o, 1
drivers/media/pci/pt1/pt1.o, 1
drivers/media/pci/pt3/pt3_dma.o, 1
